Drug,Predicted_Score,Average_Rating,Review_Count,Disease
ethinyl estradiol / levonorgestrel,207.91808,No ratings,0,generalized anxiety disorde
chantix,206.89833,No ratings,0,generalized anxiety disorde
ethinyl estradiol / norethindrone,204.88338,No ratings,0,generalized anxiety disorde
etonogestrel,312.26508,No ratings,0,allergic rhinitis
varenicline,276.87042,No ratings,0,allergic rhinitis
suprep bowel prep kit,254.00795,No ratings,0,allergic rhinitis
isotretinoin,218.29088,No ratings,0,allergic rhinitis
mirena,215.13322,No ratings,0,allergic rhinitis
implanon,208.14984,No ratings,0,allergic rhinitis
levonorgestrel,192.39046,No ratings,0,allergic rhinitis
ethinyl estradiol / levonorgestrel,183.89891,No ratings,0,allergic rhinitis
chantix,182.87917,No ratings,0,allergic rhinitis
ethinyl estradiol / norethindrone,180.86424,No ratings,0,allergic rhinitis
etonogestrel,290.97882,No ratings,0,irritable bowel syndrome
varenicline,255.58415,No ratings,0,irritable bowel syndrome
suprep bowel prep kit,232.7217,No ratings,0,irritable bowel syndrome
isotretinoin,197.00462,No ratings,0,irritable bowel syndrome
mirena,193.84697,No ratings,0,irritable bowel syndrome
implanon,186.86359,No ratings,0,irritable bowel syndrome
levonorgestrel,171.10428,No ratings,0,irritable bowel syndrome
ethinyl estradiol / levonorgestrel,163.28197,No ratings,0,irritable bowel syndrome
chantix,161.87,No ratings,0,irritable bowel syndrome
ethinyl estradiol / norethindrone,160.29108,No ratings,0,irritable bowel syndrome
etonogestrel,334.87036,No ratings,0,rheumatoid arthritis
varenicline,299.47568,No ratings,0,rheumatoid arthritis
suprep bowel prep kit,276.61322,No ratings,0,rheumatoid arthritis
isotretinoin,240.89615,No ratings,0,rheumatoid arthritis
mirena,237.7385,No ratings,0,rheumatoid arthritis
implanon,230.75513,No ratings,0,rheumatoid arthritis
levonorgestrel,214.99574,No ratings,0,rheumatoid arthritis
ethinyl estradiol / levonorgestrel,206.50421,No ratings,0,rheumatoid arthritis
chantix,205.48445,No ratings,0,rheumatoid arthritis
ethinyl estradiol / norethindrone,203.46953,No ratings,0,rheumatoid arthritis
etonogestrel,301.98346,No ratings,0,bacterial infection
varenicline,266.58875,No ratings,0,bacterial infection
suprep bowel prep kit,243.7263,No ratings,0,bacterial infection
isotretinoin,208.00925,No ratings,0,bacterial infection
mirena,204.85161,No ratings,0,bacterial infection
implanon,197.86821,No ratings,0,bacterial infection
levonorgestrel,182.10884,No ratings,0,bacterial infection
ethinyl estradiol / levonorgestrel,173.6173,No ratings,0,bacterial infection
chantix,172.59753,No ratings,0,bacterial infection
ethinyl estradiol / norethindrone,170.58261,No ratings,0,bacterial infection
etonogestrel,287.1394,No ratings,0,cough
varenicline,251.74474,No ratings,0,cough
suprep bowel prep kit,228.88225,No ratings,0,cough
isotretinoin,193.1652,No ratings,0,cough
mirena,190.00754,No ratings,0,cough
implanon,183.02415,No ratings,0,cough
levonorgestrel,167.2648,No ratings,0,cough
ethinyl estradiol / levonorgestrel,158.77324,No ratings,0,cough
chantix,157.7535,No ratings,0,cough
ethinyl estradiol / norethindrone,155.73857,No ratings,0,cough
etonogestrel,310.01328,No ratings,0,sinusitis
varenicline,274.6186,No ratings,0,sinusitis
suprep bowel prep kit,251.75612,No ratings,0,sinusitis
isotretinoin,216.03902,No ratings,0,sinusitis
mirena,212.8814,No ratings,0,sinusitis
implanon,205.898,No ratings,0,sinusitis
levonorgestrel,190.13864,No ratings,0,sinusitis
ethinyl estradiol / levonorgestrel,181.6471,No ratings,0,sinusitis
chantix,180.62733,No ratings,0,sinusitis
ethinyl estradiol / norethindrone,178.61241,No ratings,0,sinusitis
etonogestrel,333.56784,No ratings,0,aids
varenicline,298.17316,No ratings,0,aids
suprep bowel prep kit,275.31067,No ratings,0,aids
isotretinoin,239.59361,No ratings,0,aids
mirena,236.43597,No ratings,0,aids
implanon,229.45259,No ratings,0,aids
levonorgestrel,213.69322,No ratings,0,aids
ethinyl estradiol / levonorgestrel,205.20169,No ratings,0,aids
chantix,204.18193,No ratings,0,aids
ethinyl estradiol / norethindrone,202.167,No ratings,0,aids
etonogestrel,337.21893,No ratings,0,nausea/vomiting
varenicline,301.82422,No ratings,0,nausea/vomiting
suprep bowel prep kit,278.9618,No ratings,0,nausea/vomiting
isotretinoin,243.2447,No ratings,0,nausea/vomiting
mirena,240.08705,No ratings,0,nausea/vomiting
implanon,233.10367,No ratings,0,nausea/vomiting
levonorgestrel,217.34431,No ratings,0,nausea/vomiting
ethinyl estradiol / levonorgestrel,208.85277,No ratings,0,nausea/vomiting
chantix,207.83302,No ratings,0,nausea/vomiting
ethinyl estradiol / norethindrone,205.81808,No ratings,0,nausea/vomiting
etonogestrel,337.94257,No ratings,0,gerd
varenicline,302.5479,No ratings,0,gerd
suprep bowel prep kit,279.68542,No ratings,0,gerd
isotretinoin,243.96837,No ratings,0,gerd
mirena,240.81073,No ratings,0,gerd
implanon,233.82735,No ratings,0,gerd
levonorgestrel,218.06798,No ratings,0,gerd
ethinyl estradiol / levonorgestrel,209.57643,No ratings,0,gerd
chantix,208.55667,No ratings,0,gerd
ethinyl estradiol / norethindrone,206.54176,No ratings,0,gerd
etonogestrel,402.60022,No ratings,0,hepatitis c
varenicline,367.2055,No ratings,0,hepatitis c
suprep bowel prep kit,344.34302,No ratings,0,hepatitis c
isotretinoin,308.62598,No ratings,0,hepatitis c
mirena,305.46832,No ratings,0,hepatitis c
implanon,298.48495,No ratings,0,hepatitis c
levonorgestrel,282.72556,No ratings,0,hepatitis c
ethinyl estradiol / levonorgestrel,274.234,No ratings,0,hepatitis c
chantix,273.21426,No ratings,0,hepatitis c
ethinyl estradiol / norethindrone,271.19934,No ratings,0,hepatitis c
etonogestrel,326.77747,No ratings,0,restless legs syndrome
varenicline,291.38275,No ratings,0,restless legs syndrome
suprep bowel prep kit,268.52026,No ratings,0,restless legs syndrome
isotretinoin,232.80322,No ratings,0,restless legs syndrome
mirena,229.64558,No ratings,0,restless legs syndrome
implanon,222.66219,No ratings,0,restless legs syndrome
levonorgestrel,206.90282,No ratings,0,restless legs syndrome
ethinyl estradiol / levonorgestrel,198.41127,No ratings,0,restless legs syndrome
chantix,197.39153,No ratings,0,restless legs syndrome
ethinyl estradiol / norethindrone,195.3766,No ratings,0,restless legs syndrome
etonogestrel,362.4054,No ratings,0,hyperhidrosis
varenicline,327.01068,No ratings,0,hyperhidrosis
suprep bowel prep kit,304.14822,No ratings,0,hyperhidrosis
isotretinoin,268.43118,No ratings,0,hyperhidrosis
mirena,265.27353,No ratings,0,hyperhidrosis
implanon,258.29013,No ratings,0,hyperhidrosis
levonorgestrel,242.53078,No ratings,0,hyperhidrosis
ethinyl estradiol / levonorgestrel,234.03923,No ratings,0,hyperhidrosis
chantix,233.01949,No ratings,0,hyperhidrosis
ethinyl estradiol / norethindrone,231.00455,No ratings,0,hyperhidrosis
etonogestrel,304.3534,No ratings,0,malaria
varenicline,268.9587,No ratings,0,malaria
suprep bowel prep kit,246.09624,No ratings,0,malaria
isotretinoin,210.37918,No ratings,0,malaria
mirena,207.22154,No ratings,0,malaria
implanon,200.23814,No ratings,0,malaria
levonorgestrel,184.47878,No ratings,0,malaria
ethinyl estradiol / levonorgestrel,175.98724,No ratings,0,malaria
chantix,174.96748,No ratings,0,malaria
ethinyl estradiol / norethindrone,172.95255,No ratings,0,malaria
etonogestrel,288.03668,No ratings,0,overactive bladde
varenicline,252.64203,No ratings,0,overactive bladde
suprep bowel prep kit,229.77953,No ratings,0,overactive bladde
isotretinoin,194.06247,No ratings,0,overactive bladde
mirena,190.90483,No ratings,0,overactive bladde
implanon,183.92143,No ratings,0,overactive bladde
levonorgestrel,168.16206,No ratings,0,overactive bladde
ethinyl estradiol / levonorgestrel,159.67052,No ratings,0,overactive bladde
chantix,158.65076,No ratings,0,overactive bladde
ethinyl estradiol / norethindrone,156.63583,No ratings,0,overactive bladde
etonogestrel,319.00244,No ratings,0,multiple sclerosis
varenicline,283.60773,No ratings,0,multiple sclerosis
suprep bowel prep kit,260.74527,No ratings,0,multiple sclerosis
isotretinoin,225.02821,No ratings,0,multiple sclerosis
mirena,221.87057,No ratings,0,multiple sclerosis
implanon,214.88719,No ratings,0,multiple sclerosis
levonorgestrel,199.12782,No ratings,0,multiple sclerosis
ethinyl estradiol / levonorgestrel,190.63628,No ratings,0,multiple sclerosis
chantix,189.61653,No ratings,0,multiple sclerosis
ethinyl estradiol / norethindrone,187.6016,No ratings,0,multiple sclerosis
etonogestrel,319.4453,No ratings,0,high cholesterol
varenicline,284.05063,No ratings,0,high cholesterol
suprep bowel prep kit,261.18814,No ratings,0,high cholesterol
isotretinoin,225.47112,No ratings,0,high cholesterol
mirena,222.31346,No ratings,0,high cholesterol
implanon,215.33008,No ratings,0,high cholesterol
levonorgestrel,199.57071,No ratings,0,high cholesterol
ethinyl estradiol / levonorgestrel,191.07915,No ratings,0,high cholesterol
chantix,190.0594,No ratings,0,high cholesterol
ethinyl estradiol / norethindrone,188.04448,No ratings,0,high cholesterol
etonogestrel,316.11523,No ratings,0,hiv infection
varenicline,280.72055,No ratings,0,hiv infection
suprep bowel prep kit,257.85806,No ratings,0,hiv infection
isotretinoin,222.141,No ratings,0,hiv infection
mirena,218.98338,No ratings,0,hiv infection
implanon,211.99998,No ratings,0,hiv infection
levonorgestrel,196.24062,No ratings,0,hiv infection
ethinyl estradiol / levonorgestrel,187.74907,No ratings,0,hiv infection
chantix,186.72932,No ratings,0,hiv infection
ethinyl estradiol / norethindrone,184.7144,No ratings,0,hiv infection
etonogestrel,318.9278,No ratings,0,psoriasis
varenicline,283.5331,No ratings,0,psoriasis
suprep bowel prep kit,260.67062,No ratings,0,psoriasis
